13	128
16	16
8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	2	2	3	2	2	2	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
5	1	2	6	7	8	2	9	10	6	10	2	2	2	2	2	2	11	12	13	2	2	2	2	2	2	2	2	2	11	12	13	2	2	2	2	2	11	12	13	2	2	2	2	2	6	10	6	10	2	2	11	12	13	2	2	2	11	12	13	2	6	7	8	3	8	2	9	7	8	2	2	2	2	2	11	12	13	2	2	2	2	2	11	12	13	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	11	13	2	2	2	11	12	13	2	2	2	2	11	13	2	2	2	2	2	11	12	13	
5	14	2	15	16	17	18	19	18	19	18	2	2	2	2	2	2	20	20	21	20	2	22	23	20	21	22	23	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	15	18	19	18	2	2	2	2	2	2	2	2	2	2	2	2	15	16	17	16	17	18	19	16	17	18	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	24	25	25	25	2	2	2	2	2	20	20	21	22	23	20	2	2	20	20	2	20	21	22	23	2	2	2	2	2	2	2	2	2	2	2	2	
26	27	2	19	28	29	30	19	30	19	30	2	11	13	2	2	22	31	32	32	32	33	31	34	32	32	31	34	23	2	2	2	2	2	11	13	2	2	2	2	2	2	2	2	2	19	30	19	30	2	2	2	2	2	2	2	2	2	2	2	2	19	28	29	28	29	30	19	28	29	30	2	11	13	2	2	2	2	2	2	2	2	2	2	2	2	11	13	2	2	2	2	35	36	36	37	2	11	12	13	22	31	32	32	31	34	32	23	22	31	32	33	32	32	31	34	23	2	2	11	12	13	2	2	2	2	2	2	
38	27	2	19	39	28	40	19	40	19	40	2	2	2	2	41	42	43	42	43	42	43	43	44	42	43	43	44	42	45	2	2	2	2	2	20	20	21	22	23	2	21	2	2	2	19	40	19	40	2	2	2	24	25	25	25	25	25	25	25	2	19	39	28	39	28	40	19	39	28	40	2	2	2	2	2	24	25	2	2	24	25	25	25	25	25	2	2	2	2	24	25	35	36	36	37	2	2	2	41	42	43	42	43	43	44	42	43	43	44	42	43	42	43	43	44	42	45	2	2	2	20	20	21	2	21	22	23	
38	46	47	48	49	50	51	50	51	50	52	53	47	48	48	54	55	54	55	54	55	54	49	55	55	54	49	55	55	54	52	48	52	53	41	43	42	42	43	43	56	42	45	2	47	48	51	50	52	53	2	2	35	36	36	36	36	36	36	37	47	48	49	50	49	50	51	50	49	50	52	53	47	48	52	53	35	37	2	2	35	36	36	36	36	37	2	2	2	2	35	37	35	36	36	37	47	48	48	54	55	54	55	54	49	55	55	54	49	55	55	54	55	54	49	55	55	54	52	53	41	43	42	42	56	42	43	43	
57	58	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	24	25	35	36	36	36	36	36	36	37	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	60	61	59	59	35	36	36	36	36	37	59	59	24	25	60	61	35	36	36	37	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	
62	58	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	35	37	35	36	36	36	36	36	36	37	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	35	37	63	63	35	36	36	36	36	37	63	63	35	37	35	37	35	36	36	37	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	
